selling_price,year,km_driven,fuel_petrol,fuel_diesel,fuel_cng,fuel_lpg,seller_type_indiv,seller_type_dealer,transmission
151000,2009,66764,1,0,0,0,0,1,0
140000,2009,100000,1,0,0,0,1,0,0
280000,2010,350000,0,1,0,0,1,0,0
350000,2011,230000,0,1,0,0,1,0,0
570000,2017,60000,0,1,0,0,1,0,0
300000,2018,31000,1,0,0,0,1,0,0
100000,2007,39000,0,1,0,0,1,0,0
500000,2009,120000,0,1,0,0,1,0,0
125000,2014,166000,0,1,0,0,1,0,0
130000,2006,110000,1,0,0,0,1,0,0
925000,2017,35000,0,1,0,0,1,0,0
750000,2018,60000,0,1,0,0,1,0,0
200000,2007,54000,1,0,0,0,1,0,1
248000,2010,63000,1,0,0,0,1,0,0
450000,2014,120000,0,1,0,0,1,0,0
80000,2005,120000,1,0,0,0,1,0,0
650000,2014,76000,1,0,0,0,1,0,0
450000,2015,80000,0,1,0,0,1,0,0
650000,2019,25000,0,1,0,0,1,0,0
495000,2016,11958,1,0,0,0,0,1,0
371000,2015,20000,1,0,0,0,0,1,0
1025000,2017,9000,1,0,0,0,0,1,0
8150000,2017,6500,0,1,0,0,0,1,1
750000,2015,70000,0,1,0,0,1,0,0
600000,2013,120000,0,1,0,0,1,0,0
80000,2007,58000,1,0,0,0,0,1,0
325000,2013,62200,0,1,0,0,0,1,0
1470000,2014,34000,0,1,0,0,0,1,1
350000,2015,53000,0,1,0,0,1,0,0
2800000,2013,49000,0,1,0,0,0,1,1
210000,2017,15000,1,0,0,0,0,1,0
450000,2013,50000,1,0,0,0,1,0,0
1150000,2013,53000,0,1,0,0,0,1,1
210000,2009,63500,1,0,0,0,0,1,1
4500000,2018,9800,1,0,0,0,0,1,1
2750000,2017,13000,0,1,0,0,1,0,1
1975000,2018,21000,0,1,0,0,0,1,1
175000,2008,29173,1,0,0,0,0,1,0
2500000,2012,48000,0,1,0,0,0,1,1
628000,2017,120000,0,1,0,0,1,0,0
600000,2010,100000,0,1,0,0,1,0,0
399000,2017,30000,1,0,0,0,1,0,0
750000,2018,87000,0,1,0,0,1,0,0
750000,2019,15000,1,0,0,0,1,0,0
315000,2017,16000,1,0,0,0,1,0,0
600000,2012,60000,0,1,0,0,1,0,0
100000,2010,60000,1,0,0,0,1,0,0
250000,2011,110000,1,0,0,0,1,0,0
350000,2017,25000,1,0,0,0,1,0,0
780000,2016,60000,0,1,0,0,1,0,0
434000,2014,79350,0,1,0,0,1,0,0
690000,2016,80000,1,0,0,0,1,0,1
555000,2014,90000,0,1,0,0,1,0,0
120000,2007,90000,1,0,0,0,1,0,0
500000,2014,120000,0,1,0,0,1,0,0
165000,2013,60000,0,1,0,0,1,0,0
95000,2004,50000,1,0,0,0,1,0,0
550000,2018,20000,1,0,0,0,1,0,0
100000,2007,110000,0,1,0,0,1,0,0
100000,2012,50000,1,0,0,0,1,0,0
500000,2012,100000,0,1,0,0,1,0,0
800000,2016,70000,0,1,0,0,1,0,0
840000,2016,70000,0,1,0,0,1,0,0
490000,2016,50000,1,0,0,0,1,0,0
125000,2010,81000,0,1,0,0,1,0,0
400000,2012,120000,0,1,0,0,1,0,0
1000000,2015,3600,0,1,0,0,0,1,0
530000,2015,14272,1,0,0,0,0,1,0
840000,2017,49213,0,1,0,0,0,1,0
229999,2015,40000,1,0,0,0,1,0,0
40000,1998,40000,1,0,0,0,1,0,0
130000,2012,80000,1,0,0,0,1,0,0
200000,2015,70000,1,0,0,0,1,0,0
120000,2011,70000,0,1,0,0,1,0,0
75000,2003,57000,1,0,0,0,1,0,0
250000,2016,120000,0,1,0,0,1,0,0
100000,2005,30000,1,0,0,0,1,0,0
280000,2013,3240,1,0,0,0,1,0,0
540000,2015,5000,1,0,0,0,1,0,0
700000,2018,10000,1,0,0,0,1,0,0
525000,2015,100000,0,1,0,0,1,0,0
430000,2016,80000,0,1,0,0,1,0,0
65000,2002,70000,1,0,0,0,1,0,0
800000,2018,35000,0,1,0,0,1,0,0
75000,2007,114000,1,0,0,0,1,0,0
210000,2008,53772,1,0,0,0,1,0,0
195000,2012,140000,0,1,0,0,1,0,0
400000,2015,120000,0,1,0,0,1,0,0
170000,2012,60000,1,0,0,0,1,0,0
225000,2016,25000,1,0,0,0,1,0,0
210000,2014,90000,0,0,0,1,1,0,0
240000,2020,120000,1,0,0,0,1,0,0
300000,2015,175000,0,1,0,0,1,0,0
99000,2011,100000,1,0,0,0,1,0,0
620000,2014,36000,1,0,0,0,1,0,0
500000,2013,30000,0,1,0,0,1,0,0
2550000,2010,40000,1,0,0,0,1,0,1
260000,2013,70000,1,0,0,0,1,0,0
550000,2017,60000,1,0,0,0,1,0,0
150000,2011,155500,0,1,0,0,1,0,0
350000,2011,50000,1,0,0,0,1,0,1
320000,2016,40000,1,0,0,0,1,0,0
400000,2015,100000,0,1,0,0,1,0,0
175000,2012,80000,1,0,0,0,1,0,0
120000,2011,90000,1,0,0,0,1,0,0
320000,2013,90000,0,1,0,0,1,0,0
70000,2006,110000,1,0,0,0,1,0,0
810000,2019,15000,1,0,0,0,1,0,0
95000,2007,100000,1,0,0,0,1,0,0
282000,2020,40000,0,0,1,0,1,0,0
80000,2004,60000,1,0,0,0,1,0,0
72000,2013,25000,1,0,0,0,1,0,0
600000,2016,25000,1,0,0,0,1,0,0
640000,2015,23000,1,0,0,0,1,0,0
380000,2018,22155,1,0,0,0,1,0,0
650000,2018,70000,1,0,0,0,1,0,0
150000,2009,60000,1,0,0,0,1,0,0
280000,2009,110000,1,0,0,0,1,0,0
430000,2018,30000,1,0,0,0,1,0,0
800000,2019,15000,0,1,0,0,1,0,0
75000,2003,100000,0,1,0,0,1,0,0
650000,2016,70000,0,1,0,0,1,0,1
390000,2017,24000,1,0,0,0,1,0,0
100000,2005,120000,1,0,0,0,1,0,0
1500000,2013,35000,0,1,0,0,1,0,1
175000,2007,78380,1,0,0,0,1,0,0
434999,2012,110000,0,1,0,0,1,0,0
170000,2010,90000,0,1,0,0,1,0,0
190000,2011,90000,0,1,0,0,1,0,0
250000,2009,150000,0,1,0,0,1,0,0
229999,2009,230000,0,1,0,0,1,0,0
140000,2006,70000,1,0,0,0,1,0,0
600000,2017,80362,0,1,0,0,1,0,0
280000,2012,110000,1,0,0,0,1,0,0
150000,2012,60000,0,1,0,0,1,0,0
650000,2015,50000,0,1,0,0,1,0,1
210000,2014,40000,1,0,0,0,1,0,0
2900000,2017,40000,0,1,0,0,1,0,1
425000,2013,20000,0,1,0,0,0,1,0
265000,2014,55000,1,0,0,0,0,1,0
890000,2018,1136,1,0,0,0,0,1,0
365000,2013,55000,1,0,0,0,0,1,0
350000,2014,43000,1,0,0,0,0,1,0
685000,2016,60000,0,1,0,0,1,0,0
940000,2018,2650,0,1,0,0,0,1,0
1000000,2017,40000,0,1,0,0,1,0,0
1150000,2019,15000,1,0,0,0,0,1,0
450000,2016,115962,0,1,0,0,1,0,0
590000,2015,65000,0,1,0,0,0,1,0
800000,2017,40000,0,1,0,0,1,0,0
385000,2012,58000,0,1,0,0,0,1,0
2000000,2013,15000,0,1,0,0,1,0,1
235000,2012,54000,1,0,0,0,0,1,0
640000,2017,56000,0,1,0,0,0,1,0
52000,2006,120000,1,0,0,0,1,0,0
80000,2009,90000,0,0,0,1,1,0,0
140000,2012,70000,1,0,0,0,1,0,0
120000,2008,90000,1,0,0,0,1,0,0
89999,2008,213000,0,1,0,0,1,0,0
180000,2012,120000,0,1,0,0,1,0,0
1500000,2017,20000,0,1,0,0,1,0,0
700000,2017,10000,1,0,0,0,1,0,0
285000,2012,80000,0,1,0,0,1,0,0
390000,2015,90000,1,0,0,0,1,0,0
125000,2008,80000,1,0,0,0,1,0,0
225000,2008,60000,1,0,0,0,1,0,0
175000,2011,139000,1,0,0,0,1,0,0
1075000,2011,160000,0,1,0,0,1,0,0
300000,2014,150000,0,1,0,0,1,0,0
700000,2010,163000,0,1,0,0,1,0,0
90000,2009,120000,0,1,0,0,0,1,0
120000,2011,120000,0,1,0,0,1,0,0
220000,2012,100000,0,1,0,0,1,0,0
300000,2015,140000,0,1,0,0,0,1,0
180000,2010,87000,0,1,0,0,0,1,0
170000,2013,70000,1,0,0,0,1,0,0
300000,2015,50000,1,0,0,0,1,0,0
1050000,2014,70000,0,1,0,0,1,0,0
300000,2014,150000,0,1,0,0,1,0,0
465000,2018,25000,0,1,0,0,1,0,0
130000,2011,80000,0,1,0,0,1,0,0
434999,2018,10000,1,0,0,0,1,0,0
500000,2018,32000,1,0,0,0,1,0,0
200000,2018,10000,1,0,0,0,1,0,0
625000,2017,52000,1,0,0,0,0,1,0
110000,2006,120000,0,1,0,0,1,0,0
800000,2019,11240,1,0,0,0,1,0,0
490000,2017,66000,0,1,0,0,0,1,0
880000,2017,64000,0,1,0,0,0,1,0
290000,2013,49000,1,0,0,0,1,0,0
115999,2006,100000,0,1,0,0,1,0,0
360000,2018,26500,1,0,0,0,1,0,0
65000,2002,100000,1,0,0,0,1,0,0
685000,2017,72000,0,1,0,0,0,1,0
300000,2009,50000,1,0,0,0,1,0,0
680000,2017,44000,0,1,0,0,0,1,0
1000000,2017,60000,0,1,0,0,1,0,0
100000,2002,120000,0,1,0,0,1,0,0
160000,2010,130000,0,1,0,0,1,0,0
450000,2017,70000,0,1,0,0,1,0,0
600000,2014,20000,1,0,0,0,1,0,0
180000,2009,60000,0,1,0,0,1,0,0
100000,2007,195000,1,0,0,0,1,0,0
120000,2010,90000,1,0,0,0,1,0,0
130000,2006,80000,1,0,0,0,1,0,0
160000,2011,155000,1,0,0,0,1,0,0
860000,2019,35000,0,1,0,0,1,0,0
650000,2018,20000,1,0,0,0,1,0,0
100000,2010,80000,1,0,0,0,1,0,0
282000,2017,20000,1,0,0,0,1,0,0
300000,2009,50000,1,0,0,0,1,0,0
270000,2010,110000,1,0,0,0,1,0,0
550000,2013,29000,0,1,0,0,1,0,0
450000,2013,120000,0,1,0,0,1,0,0
430000,2011,70000,0,1,0,0,1,0,0
350000,2013,40000,1,0,0,0,1,0,0
350000,2017,20000,1,0,0,0,1,0,0
229999,2013,50000,1,0,0,0,1,0,0
110000,2013,50000,1,0,0,0,1,0,0
395000,2012,49000,1,0,0,0,1,0,0
650000,2011,70000,0,1,0,0,1,0,1
350000,2011,90000,0,1,0,0,1,0,0
1400000,2020,25000,0,1,0,0,0,1,0
360000,2018,4000,1,0,0,0,1,0,0
1300000,2018,10000,0,1,0,0,1,0,0
800000,2015,15000,0,1,0,0,1,0,0
229999,2018,30000,1,0,0,0,1,0,0
315000,2014,41000,1,0,0,0,0,1,0
125000,2012,28000,1,0,0,0,1,0,0
700000,2019,16000,1,0,0,0,1,0,0
160000,2015,70000,1,0,0,0,1,0,0
530000,2017,10832,1,0,0,0,0,1,0
624000,2018,14681,0,1,0,0,0,1,0
250000,2009,50000,1,0,0,0,1,0,0
585000,2016,51000,0,1,0,0,0,1,0
500000,2015,25000,1,0,0,0,1,0,0
350000,2014,30000,1,0,0,0,1,0,0
495000,2014,80000,0,1,0,0,0,1,0
500000,2017,50000,1,0,0,0,1,0,0
430000,2015,200000,0,1,0,0,1,0,0
345000,2013,44000,1,0,0,0,0,1,0
500000,2015,10000,1,0,0,0,1,0,0
425000,2019,19600,1,0,0,0,1,0,0
80000,2005,40000,1,0,0,0,1,0,0
106000,2011,50000,0,1,0,0,1,0,0
180000,2009,46730,1,0,0,0,1,0,0
250000,2015,40000,1,0,0,0,1,0,0
350000,2011,80000,0,1,0,0,1,0,0
60000,2002,80000,1,0,0,0,1,0,0
900000,2018,24000,0,1,0,0,1,0,0
700000,2017,21170,0,1,0,0,0,1,0
2000000,2013,167223,0,1,0,0,0,1,1
1000000,2017,40000,0,1,0,0,1,0,0
1375000,2011,60000,0,1,0,0,1,0,1
1800000,2016,141440,0,1,0,0,0,1,0
160000,2007,120000,0,1,0,0,1,0,0
525000,2012,140000,1,0,0,0,1,0,1
850000,2012,212814,0,1,0,0,0,1,0
800000,2019,30000,0,1,0,0,1,0,0
700000,2017,88635,0,1,0,0,0,1,0
800000,2018,25000,0,1,0,0,1,0,0
575000,2017,20000,1,0,0,0,1,0,0
350000,2012,110000,0,1,0,0,1,0,0
250000,2008,120000,0,1,0,0,1,0,0
600000,2011,149674,0,1,0,0,0,1,0
370000,2007,100000,0,1,0,0,1,0,0
80000,2006,120000,1,0,0,0,1,0,0
50000,2003,120000,0,1,0,0,1,0,0
900000,2018,25000,0,1,0,0,1,0,0
300000,2014,35000,1,0,0,0,1,0,0
125000,2002,40000,1,0,0,0,1,0,0
490000,2015,60000,0,1,0,0,1,0,0
300000,2012,50000,0,1,0,0,1,0,0
55000,2013,25000,1,0,0,0,1,0,0
350000,2016,25000,1,0,0,0,1,0,0
755000,2019,8000,0,1,0,0,1,0,0
720000,2017,60000,0,1,0,0,1,0,0
229999,2006,200000,0,1,0,0,1,0,0
1100000,2018,20000,0,1,0,0,1,0,0
400000,2013,100000,1,0,0,0,1,0,0
350000,2015,70000,0,1,0,0,1,0,0
159000,2012,68000,0,1,0,0,0,1,0
550000,2017,38000,1,0,0,0,0,1,0
335000,2013,80000,0,1,0,0,0,1,0
185000,2014,72000,0,0,1,0,0,1,0
229999,2012,75000,0,0,1,0,0,1,0
225000,2014,43000,1,0,0,0,0,1,0
250000,2007,120000,1,0,0,0,1,0,0
400000,2015,100000,0,1,0,0,1,0,0
470000,2014,163000,0,1,0,0,1,0,0
300000,2018,25000,1,0,0,0,1,0,1
145000,2011,25000,1,0,0,0,1,0,0
100000,2007,90000,1,0,0,0,1,0,0
500000,2014,70000,0,1,0,0,1,0,0
130000,2010,98000,0,0,1,0,1,0,0
240000,2010,81925,0,1,0,0,1,0,0
150000,2013,80000,0,1,0,0,1,0,0
270000,2017,40000,1,0,0,0,1,0,0
400000,2014,90000,0,1,0,0,1,0,0
200000,2012,46000,1,0,0,0,1,0,0
550000,2012,80000,0,1,0,0,1,0,0
325000,2018,35000,1,0,0,0,1,0,0
860000,2017,82080,0,1,0,0,1,0,1
600000,2012,200000,0,1,0,0,1,0,0
125000,2009,70000,1,0,0,0,1,0,0
60000,2000,40000,1,0,0,0,1,0,0
300000,2010,120000,0,1,0,0,1,0,0
190000,2007,60000,1,0,0,0,1,0,0
400000,2013,110000,0,1,0,0,1,0,0
260000,2011,97000,0,1,0,0,1,0,0
400000,2017,30000,1,0,0,0,1,0,0
250000,2010,40000,1,0,0,0,1,0,0
600000,2019,10000,1,0,0,0,1,0,0
175000,2010,52047,1,0,0,0,1,0,0
450000,2011,200000,0,1,0,0,1,0,0
350000,2019,15000,1,0,0,0,1,0,1
800000,2018,50000,0,1,0,0,1,0,0
250000,2011,70000,1,0,0,0,1,0,0
600000,2019,10000,1,0,0,0,1,0,0
600000,2017,90000,0,1,0,0,1,0,0
130000,2016,40000,1,0,0,0,1,0,0
90000,2006,62009,1,0,0,0,1,0,0
595000,2017,33100,1,0,0,0,1,0,0
190000,2014,40000,1,0,0,0,1,0,0
50000,1999,120000,1,0,0,0,1,0,0
95000,2007,80000,1,0,0,0,1,0,0
1000000,2016,70000,0,1,0,0,1,0,0
220000,2006,220000,1,0,0,0,1,0,0
400000,2010,50000,0,1,0,0,1,0,0
315000,2015,45000,1,0,0,0,1,0,0
1000000,2014,110000,0,1,0,0,1,0,0
500000,2014,49000,0,1,0,0,1,0,0
1600000,2018,35000,0,1,0,0,1,0,1
500000,2017,160000,0,1,0,0,1,0,0
70000,2007,180000,1,0,0,0,1,0,0
105000,2007,60000,1,0,0,0,1,0,0
400000,2008,110000,0,1,0,0,1,0,0
80000,2004,60000,1,0,0,0,1,0,0
300000,2016,30000,1,0,0,0,1,0,0
409999,2017,40000,0,1,0,0,1,0,0
250000,2009,70000,1,0,0,0,1,0,0
250000,2010,120000,0,1,0,0,1,0,0
215000,2012,80000,0,1,0,0,1,0,0
1400000,2015,120000,0,1,0,0,1,0,0
475000,2018,20000,1,0,0,0,1,0,0
475000,2018,22000,1,0,0,0,1,0,0
75000,2008,35000,1,0,0,0,1,0,0
200000,2013,120000,0,1,0,0,1,0,0
575000,2019,8000,1,0,0,0,1,0,0
150000,2011,40000,0,1,0,0,1,0,0
850000,2018,10000,0,1,0,0,1,0,0
350000,2019,30000,1,0,0,0,1,0,0
550000,2011,54000,0,1,0,0,1,0,0
330000,2017,80577,1,0,0,0,1,0,0
1044999,2017,25000,0,1,0,0,1,0,0
300000,2011,127500,0,1,0,0,1,0,0
235000,2015,40903,1,0,0,0,0,1,0
120000,2011,60000,1,0,0,0,1,0,0
130000,2004,46000,1,0,0,0,1,0,0
275000,2004,22288,0,1,0,0,0,1,0
270000,2011,180000,0,1,0,0,1,0,0
500000,2015,30000,0,1,0,0,1,0,0
400000,2015,61690,1,0,0,0,0,1,0
600000,2015,64484,1,0,0,0,0,1,0
1350000,2012,90000,0,1,0,0,1,0,1
400000,2013,75976,0,1,0,0,0,1,0
220000,2011,70000,0,1,0,0,1,0,0
300000,2012,85962,1,0,0,0,0,1,0
250000,2018,120000,1,0,0,0,1,0,0
600000,2015,120000,0,1,0,0,1,0,0
285000,2012,75000,1,0,0,0,1,0,1
350000,2009,57035,1,0,0,0,0,1,0
170000,2011,70000,0,1,0,0,1,0,0
229999,2015,45000,1,0,0,0,1,0,0
500000,2013,72104,0,1,0,0,0,1,0
75000,2011,15000,1,0,0,0,1,0,0
600000,2016,30000,1,0,0,0,1,0,0
220000,2011,80000,0,1,0,0,1,0,0
150000,2009,164000,0,1,0,0,1,0,0
65000,2006,124439,1,0,0,0,1,0,0
120000,2006,77000,1,0,0,0,1,0,0
240000,2014,90000,0,1,0,0,1,0,0
390000,2017,30000,1,0,0,0,1,0,0
180000,2012,50000,1,0,0,0,1,0,0
320000,2012,80000,0,1,0,0,1,0,0
310000,2018,5000,1,0,0,0,1,0,0
420000,2018,24000,1,0,0,0,1,0,1
550000,2019,10000,1,0,0,0,1,0,0
550000,2016,78000,0,1,0,0,1,0,0
760000,2018,50000,0,1,0,0,1,0,0
43000,2001,100000,1,0,0,0,1,0,0
250000,2018,20000,1,0,0,0,1,0,0
500000,2019,1250,1,0,0,0,1,0,0
380000,2015,17152,1,0,0,0,1,0,0
1850000,2019,5000,0,1,0,0,1,0,1
350000,2012,77000,0,1,0,0,1,0,0
195000,2008,90000,0,1,0,0,1,0,0
225000,2011,80000,1,0,0,0,1,0,0
1125000,2015,65000,0,1,0,0,1,0,0
133000,2011,80000,0,1,0,0,1,0,0
200000,2013,24005,1,0,0,0,1,0,0
940000,2018,20000,0,1,0,0,1,0,0
400000,2014,120000,0,1,0,0,1,0,0
120000,2009,120000,1,0,0,0,1,0,0
625000,2015,80000,0,1,0,0,1,0,0
110000,2005,80000,1,0,0,0,1,0,0
490000,2012,100000,0,1,0,0,1,0,0
140000,2009,120000,1,0,0,0,1,0,0
175000,2011,149000,0,1,0,0,1,0,0
90000,2005,65000,1,0,0,0,1,0,0
275000,2009,100000,0,1,0,0,1,0,0
300000,2011,65000,0,1,0,0,1,0,0
270000,2018,19000,1,0,0,0,1,0,0
130000,2010,80000,1,0,0,0,1,0,0
275000,2015,30000,1,0,0,0,1,0,0
352000,2012,109000,0,1,0,0,1,0,0
180000,2012,90000,0,0,0,1,1,0,0
150000,2012,90000,1,0,0,0,1,0,0
300000,2011,65000,0,1,0,0,1,0,0
300000,2010,110000,0,1,0,0,1,0,0
225000,2007,120000,0,1,0,0,1,0,0
600000,2014,44000,0,1,0,0,1,0,0
500000,2015,80000,1,0,0,0,1,0,0
900000,2018,5000,1,0,0,0,1,0,0
600000,2016,61000,1,0,0,0,1,0,0
450000,2011,100000,0,1,0,0,1,0,0
270000,2009,27633,1,0,0,0,1,0,0
310000,2010,100000,0,1,0,0,1,0,0
250000,2012,100000,0,0,0,1,1,0,0
700000,2019,12586,1,0,0,0,0,1,0
650000,2018,38083,0,1,0,0,0,1,0
400000,2012,55328,0,1,0,0,0,1,0
425000,2012,81632,0,1,0,0,0,1,0
600000,2016,155201,0,1,0,0,0,1,0
600000,2013,93283,0,1,0,0,0,1,0
300000,2009,217871,0,1,0,0,0,1,0
450000,2012,90165,0,1,0,0,0,1,0
750000,2014,101504,0,1,0,0,0,1,0
325000,2010,86017,0,1,0,0,0,1,0
900000,2013,85036,0,1,0,0,0,1,0
180000,2006,91086,1,0,0,0,0,1,0
350000,2013,160254,0,1,0,0,0,1,0
600000,2013,125531,0,1,0,0,0,1,0
900000,2019,60000,0,1,0,0,1,0,0
350000,2006,100000,0,1,0,0,1,0,0
280000,2013,90000,0,1,0,0,1,0,0
225000,2009,120000,0,1,0,0,1,0,0
520000,2014,82000,0,1,0,0,1,0,0
509999,2016,60000,0,1,0,0,1,0,0
556000,2019,24000,1,0,0,0,1,0,0
225000,2014,120000,0,1,0,0,1,0,0
325000,2013,65000,0,1,0,0,0,1,0
365000,2013,65000,0,1,0,0,0,1,0
850000,2015,84000,0,1,0,0,0,1,0
350000,2013,75000,0,1,0,0,0,1,0
225000,2007,50000,0,1,0,0,0,1,0
135000,2011,50000,1,0,0,0,1,0,0
140000,2007,49000,1,0,0,0,0,1,0
665000,2016,560000,0,1,0,0,0,1,0
275000,2015,14365,1,0,0,0,0,1,0
2750000,2017,41000,0,1,0,0,1,0,1
484999,2013,65000,0,1,0,0,0,1,0
565000,2015,65000,0,1,0,0,0,1,0
425000,2013,61083,0,1,0,0,0,1,0
925000,2013,75000,0,1,0,0,1,0,0
565000,2012,72000,0,1,0,0,0,1,0
525000,2014,65000,0,1,0,0,0,1,0
1650000,2017,55000,0,1,0,0,0,1,0
295000,2015,21000,1,0,0,0,0,1,0
2050000,2012,66363,1,0,0,0,0,1,1
1475000,2018,11700,1,0,0,0,0,1,1
1100000,2017,10000,1,0,0,0,1,0,1
4400000,2014,100000,0,1,0,0,1,0,1
670000,2016,7104,1,0,0,0,0,0,0
750000,2015,45974,0,1,0,0,0,0,0
760000,2015,55340,1,0,0,0,0,0,0
850000,2017,20000,1,0,0,0,0,1,1
390000,2015,61585,0,1,0,0,0,0,0
450000,2016,39415,1,0,0,0,0,0,1
425000,2014,29654,1,0,0,0,0,0,0
770000,2016,64672,0,1,0,0,0,0,0
1150000,2015,54634,0,1,0,0,0,0,1
775000,2015,66521,1,0,0,0,0,0,0
1725000,2018,23974,0,1,0,0,0,1,1
2150000,2016,43000,0,1,0,0,0,1,1
450000,2013,1000,0,1,0,0,0,1,0
3800000,2018,10000,0,1,0,0,0,1,1
1580000,2013,86000,0,1,0,0,0,1,1
4950000,2019,30000,0,1,0,0,0,1,1
535000,2016,52600,0,1,0,0,1,0,0
225000,2012,110000,1,0,0,0,1,0,0
550000,2017,19890,1,0,0,0,0,1,1
670000,2016,7104,1,0,0,0,0,0,0
625000,2015,11918,1,0,0,0,0,0,0
520000,2017,10510,1,0,0,0,0,1,1
239000,2016,41000,1,0,0,0,0,1,0
2600000,2017,47162,0,1,0,0,0,0,1
750000,2015,45974,0,1,0,0,0,0,0
229999,2012,49824,1,0,0,0,0,1,0
1300000,2013,58500,0,1,0,0,0,1,1
80000,2005,56580,1,0,0,0,0,1,0
385000,2012,52000,0,1,0,0,0,1,0
760000,2015,55340,1,0,0,0,0,0,0
600000,2017,46507,0,1,0,0,0,0,0
450000,2013,1000,0,1,0,0,0,1,0
3800000,2018,10000,0,1,0,0,0,1,1
1580000,2013,86000,0,1,0,0,0,1,1
4950000,2019,30000,0,1,0,0,0,1,1
535000,2016,52600,0,1,0,0,1,0,0
225000,2012,110000,1,0,0,0,1,0,0
550000,2017,19890,1,0,0,0,0,1,1
670000,2016,7104,1,0,0,0,0,0,0
625000,2015,11918,1,0,0,0,0,0,0
520000,2017,10510,1,0,0,0,0,1,1
239000,2016,41000,1,0,0,0,0,1,0
2600000,2017,47162,0,1,0,0,0,0,1
750000,2015,45974,0,1,0,0,0,0,0
229999,2012,49824,1,0,0,0,0,1,0
1300000,2013,58500,0,1,0,0,0,1,1
80000,2005,56580,1,0,0,0,0,1,0
385000,2012,52000,0,1,0,0,0,1,0
760000,2015,55340,1,0,0,0,0,0,0
600000,2017,46507,0,1,0,0,0,0,0
450000,2013,1000,0,1,0,0,0,1,0
3800000,2018,10000,0,1,0,0,0,1,1
1580000,2013,86000,0,1,0,0,0,1,1
4950000,2019,30000,0,1,0,0,0,1,1
535000,2016,52600,0,1,0,0,1,0,0
225000,2012,110000,1,0,0,0,1,0,0
550000,2017,19890,1,0,0,0,0,1,1
670000,2016,7104,1,0,0,0,0,0,0
625000,2015,11918,1,0,0,0,0,0,0
520000,2017,10510,1,0,0,0,0,1,1
